benchmark,model,n_seeds,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,f1_mean,f1_std,f1_ci_low,f1_ci_high,auc_mean,auc_std,auc_ci_low,auc_ci_high,vs_deepsafe_p_value,is_comparable,test_type
AegisAI-v2,ShieldGemma-9B,1,0.8291,0.0000,,,0.8291,0.0000,,,0.9740,0.0000,,,0.0,,McNemar
AegisAI-v2,WildGuard,1,0.8081,0.0000,,,0.8081,0.0000,,,0.9619,0.0000,,,0.0,,McNemar
BeaverTails,DeepSafe-v3,5,0.8117,0.0053,0.8039,0.8196,0.8106,0.0055,0.8032,0.818,0.9594,0.0031,0.9566,0.9622,,,
BeaverTails,Beaver-Dam-7B,1,0.7383,0.0000,,,0.7339,0.0000,,,0.9014,0.0000,,,0.0,,McNemar
BeaverTails,Granite-Guardian-3.1-8B,1,0.7210,0.0000,,,0.7156,0.0000,,,0.8880,0.0000,,,0.0,,McNemar
BeaverTails,Llama-Guard-3-1B,1,0.6983,0.0000,,,0.6919,0.0000,,,0.8607,0.0000,,,0.0,,McNemar
BeaverTails,Llama-Guard-3-8B,1,0.7157,0.0000,,,0.7099,0.0000,,,0.8814,0.0000,,,0.0,,McNemar
BeaverTails,Qwen3Guard-Gen-4B,1,0.7703,0.0000,,,0.7674,0.0000,,,0.9357,0.0000,,,0.0,,McNemar
BeaverTails,Qwen3Guard-Gen-8B,1,0.7690,0.0000,,,0.7660,0.0000,,,0.9345,0.0000,,,0.0,,McNemar
BeaverTails,ShieldGemma-2B,1,0.6330,0.0000,,,0.6221,0.0000,,,0.7660,0.0000,,,0.0,,McNemar
BeaverTails,ShieldGemma-9B,1,0.6447,0.0000,,,0.6348,0.0000,,,0.7826,0.0000,,,0.0,,McNemar
BeaverTails,WildGuard,1,0.7103,0.0000,,,0.7043,0.0000,,,0.8757,0.0000,,,0.0,,McNemar
DoNotAnswer,DeepSafe-v3,5,0.7822,0.0186,0.7594,0.8043,0.4624,0.0221,0.4416,0.4868,0.7112,0.1439,,,,,
DoNotAnswer,Beaver-Dam-7B,1,0.5302,0.0000,,,0.3722,0.0000,,,0.8845,0.0000,,,0.0,,McNemar
DoNotAnswer,Granite-Guardian-3.1-8B,1,0.5730,0.0000,,,0.3930,0.0000,,,0.9188,0.0000,,,0.0,,McNemar
DoNotAnswer,Llama-Guard-3-1B,1,0.6050,0.0000,,,0.4083,0.0000,,,0.8736,0.0000,,,0.0,,McNemar
DoNotAnswer,Llama-Guard-3-8B,1,0.5338,0.0000,,,0.3678,0.0000,,,0.7076,0.0000,,,0.0,,McNemar
DoNotAnswer,Qwen3Guard-Gen-4B,1,0.5658,0.0000,,,0.3896,0.0000,,,0.9106,0.0000,,,0.0,,McNemar
DoNotAnswer,Qwen3Guard-Gen-8B,1,0.6299,0.0000,,,0.4202,0.0000,,,0.9738,0.0000,,,0.0,,McNemar
DoNotAnswer,ShieldGemma-2B,1,0.8577,0.0000,,,0.5068,0.0000,,,0.7816,0.0000,,,1.2e-05,,McNemar
DoNotAnswer,ShieldGemma-9B,1,0.5907,0.0000,,,0.4015,0.0000,,,0.9621,0.0000,,,0.0,,McNemar
DoNotAnswer,WildGuard,1,0.5907,0.0000,,,0.4015,0.0000,,,0.9630,0.0000,,,0.0,,McNemar
ToxicChat,DeepSafe-v3,5,0.9731,0.0006,0.9705,0.9756,0.9125,0.0015,0.9004,0.9231,0.9971,0.0013,0.996,0.9981,,,
ToxicChat,Beaver-Dam-7B,1,0.6733,0.0000,,,0.5433,0.0000,,,0.9587,0.0000,,,0.0,,McNemar
ToxicChat,Granite-Guardian-3.1-8B,1,0.9426,0.0000,,,0.8370,0.0000,,,0.9941,0.0000,,,0.0,,McNemar
ToxicChat,Llama-Guard-3-1B,1,0.8426,0.0000,,,0.6872,0.0000,,,0.9679,0.0000,,,0.0,,McNemar
ToxicChat,Llama-Guard-3-8B,1,0.9285,0.0000,,,0.7973,0.0000,,,0.9677,0.0000,,,0.0,,McNemar
ToxicChat,Qwen3Guard-Gen-4B,1,0.9219,0.0000,,,0.8020,0.0000,,,0.9987,0.0000,,,0.0,,McNemar
ToxicChat,Qwen3Guard-Gen-8B,1,0.9246,0.0000,,,0.8067,0.0000,,,0.9988,0.0000,,,0.0,,McNemar
ToxicChat,ShieldGemma-2B,1,0.7750,0.0000,,,0.5320,0.0000,,,0.6418,0.0000,,,0.0,,McNemar
ToxicChat,ShieldGemma-9B,1,0.9652,0.0000,,,0.8862,0.0000,,,0.9871,0.0000,,,0.0,,McNemar
ToxicChat,WildGuard,1,0.9416,0.0000,,,0.8369,0.0000,,,0.9961,0.0000,,,0.0,,McNemar
WildGuardMix,DeepSafe-v3,5,0.9682,0.0005,0.9672,0.9691,0.9681,0.0005,0.9671,0.969,0.9981,0.0002,0.9979,0.9982,,,
WildGuardMix,Beaver-Dam-7B,1,0.8336,0.0000,,,0.8323,0.0000,,,0.9682,0.0000,,,0.0,,McNemar
WildGuardMix,Granite-Guardian-3.1-8B,1,0.8735,0.0000,,,0.8731,0.0000,,,0.9865,0.0000,,,0.0,,McNemar
WildGuardMix,Llama-Guard-3-1B,1,0.8628,0.0000,,,0.8622,0.0000,,,0.9828,0.0000,,,0.0,,McNemar
WildGuardMix,Llama-Guard-3-8B,1,0.8829,0.0000,,,0.8826,0.0000,,,0.9893,0.0000,,,0.0,,McNemar
WildGuardMix,Qwen3Guard-Gen-4B,1,0.9695,0.0000,,,0.9692,0.0000,,,0.9983,0.0000,,,0.0,comparable,McNemar
WildGuardMix,Qwen3Guard-Gen-8B,1,0.9697,0.0000,,,0.9695,0.0000,,,0.9983,0.0000,,,0.0,comparable,McNemar
WildGuardMix,ShieldGemma-2B,1,0.6050,0.0000,,,0.5911,0.0000,,,0.6956,0.0000,,,0.0,,McNemar
WildGuardMix,ShieldGemma-9B,1,0.8087,0.0000,,,0.8065,0.0000,,,0.9518,0.0000,,,0.0,,McNemar
WildGuardMix,WildGuard,1,0.9810,0.0000,,,0.9810,0.0000,,,0.9984,0.0000,,,0.0,,McNemar
WildGuardMix,Embedding+logistic-0.6B,1,0.8410,0.0000,,,0.8399,0.0000,,,0.9726,0.0000,,,0.0,,McNemar
WildGuardMix,Embedding+logistic-8B,1,0.8937,0.0000,,,0.8935,0.0000,,,0.9921,0.0000,,,0.0,,McNemar
WildGuardMix,Embedding+mlp-0.6B,1,0.8410,0.0000,,,0.8399,0.0000,,,0.9726,0.0000,,,0.0,,McNemar
WildGuardMix,Embedding+mlp-8B,1,0.8937,0.0000,,,0.8935,0.0000,,,0.9921,0.0000,,,0.0,,McNemar
WildGuardMix,SafeCL-v3,1,0.7880,0.0000,,,0.7849,0.0000,,,0.9373,0.0000,,,0.0,,McNemar
WildGuardMix,SafeCL-v4,1,0.8749,0.0000,,,0.8745,0.0000,,,0.9869,0.0000,,,0.0,,McNemar
WildGuardMix,SafeCL-v5,1,0.8771,0.0000,,,0.8768,0.0000,,,0.9876,0.0000,,,0.0,,McNemar
WildGuardMix,SafeCL-v6,1,0.8760,0.0000,,,0.8756,0.0000,,,0.9874,0.0000,,,0.0,,McNemar
WildGuardMix,SafeCL-v7,1,0.7910,0.0000,,,0.7880,0.0000,,,0.9393,0.0000,,,0.0,,McNemar
WildGuardMix,SafeCL-v8,1,0.8750,0.0000,,,0.8746,0.0000,,,0.9870,0.0000,,,0.0,,McNemar
WildGuardMix,SafeCL-v9,1,0.8714,0.0000,,,0.8710,0.0000,,,0.9858,0.0000,,,0.0,,McNemar
XGuard,DeepSafe-v3,5,0.8213,0.0054,0.8139,0.8288,0.8213,0.0054,0.8137,0.8288,0.9717,0.0016,0.9693,0.9739,,,
XGuard,Beaver-Dam-7B,1,0.4100,0.0000,,,0.2908,0.0000,,,0.5000,0.0000,,,0.0,,McNemar
XGuard,Granite-Guardian-3.1-8B,1,0.7540,0.0000,,,0.7535,0.0000,,,0.9346,0.0000,,,0.0,,McNemar
XGuard,Llama-Guard-3-1B,1,0.7220,0.0000,,,0.7210,0.0000,,,0.9004,0.0000,,,0.0,,McNemar
XGuard,Llama-Guard-3-8B,1,0.7700,0.0000,,,0.7698,0.0000,,,0.9470,0.0000,,,0.0,,McNemar
XGuard,Qwen3Guard-Gen-4B,1,0.8240,0.0000,,,0.8240,0.0000,,,0.9779,0.0000,,,0.0,comparable,McNemar
XGuard,Qwen3Guard-Gen-8B,1,0.8287,0.0000,,,0.8286,0.0000,,,0.9797,0.0000,,,0.0,comparable,McNemar
XGuard,ShieldGemma-2B,1,0.6177,0.0000,,,0.6129,0.0000,,,0.7724,0.0000,,,0.0,,McNemar
XGuard,ShieldGemma-9B,1,0.7063,0.0000,,,0.7049,0.0000,,,0.8893,0.0000,,,0.0,,McNemar
XGuard,WildGuard,1,0.7187,0.0000,,,0.7175,0.0000,,,0.8973,0.0000,,,0.0,,McNemar
XSTest,DeepSafe-v3,5,0.9630,0.0052,0.9467,0.9778,0.9626,0.0052,0.9465,0.9766,0.9962,0.0024,0.993,0.9986,,,
XSTest,Beaver-Dam-7B,1,0.8519,0.0000,,,0.8447,0.0000,,,0.9799,0.0000,,,2.2e-05,,McNemar
XSTest,Granite-Guardian-3.1-8B,1,0.8963,0.0000,,,0.8962,0.0000,,,0.9951,0.0000,,,0.000512,,McNemar
XSTest,Llama-Guard-3-1B,1,0.8963,0.0000,,,0.8932,0.0000,,,0.9940,0.0000,,,0.000512,,McNemar
XSTest,Llama-Guard-3-8B,1,0.8963,0.0000,,,0.8962,0.0000,,,0.9951,0.0000,,,0.000512,,McNemar
XSTest,Qwen3Guard-Gen-4B,1,0.9259,0.0000,,,0.9259,0.0000,,,0.9978,0.0000,,,0.004427,,McNemar
XSTest,Qwen3Guard-Gen-8B,1,0.9333,0.0000,,,0.9333,0.0000,,,0.9982,0.0000,,,0.007661,,McNemar
XSTest,ShieldGemma-2B,1,0.8519,0.0000,,,0.8447,0.0000,,,0.9817,0.0000,,,2.2e-05,,McNemar
XSTest,ShieldGemma-9B,1,0.8963,0.0000,,,0.8932,0.0000,,,0.9932,0.0000,,,0.000512,,McNemar
XSTest,WildGuard,1,0.9556,0.0000,,,0.9550,0.0000,,,0.9971,0.0000,,,0.041227,comparable,McNemar
XSTest,Embedding+logistic-0.6B,1,0.8519,0.0000,,,0.8447,0.0000,,,0.9777,0.0000,,,2.2e-05,,McNemar
XSTest,Embedding+logistic-8B,1,0.8296,0.0000,,,0.8208,0.0000,,,0.9728,0.0000,,,4e-06,,McNemar
XSTest,Embedding+mlp-0.6B,1,0.8519,0.0000,,,0.8447,0.0000,,,0.9777,0.0000,,,2.2e-05,,McNemar
XSTest,Embedding+mlp-8B,1,0.8296,0.0000,,,0.8208,0.0000,,,0.9728,0.0000,,,4e-06,,McNemar
XSTest,SafeCL-v3,1,0.7926,0.0000,,,0.7776,0.0000,,,0.9514,0.0000,,,0.0,,McNemar
XSTest,SafeCL-v4,1,0.8889,0.0000,,,0.8853,0.0000,,,0.9914,0.0000,,,0.000301,,McNemar
XSTest,SafeCL-v5,1,0.8741,0.0000,,,0.8692,0.0000,,,0.9903,0.0000,,,0.000104,,McNemar
XSTest,SafeCL-v6,1,0.8741,0.0000,,,0.8692,0.0000,,,0.9905,0.0000,,,0.000104,,McNemar
XSTest,SafeCL-v7,1,0.6889,0.0000,,,0.6606,0.0000,,,0.8522,0.0000,,,0.0,,McNemar
XSTest,SafeCL-v8,1,0.8963,0.0000,,,0.8932,0.0000,,,0.9923,0.0000,,,0.000512,,McNemar
XSTest,SafeCL-v9,1,0.8889,0.0000,,,0.8853,0.0000,,,0.9914,0.0000,,,0.000301,,McNemar
